Gene	Class	Phenotype
ant(2'')-Ia	Aminoglycoside	Gentamicin, Tobramycin
ant(3'')-Ia	Aminoglycoside	Streptomycin
ant(3'')-Ii-aac(6')-IId	Aminoglycoside	Gentamicin, Streptomycin, Tobramycin, Spectinomycin, Amikacin
ant(4')-Ib	Aminoglycoside	Amikacin, Tobramycin, Isepamicin, Dibekacin
ant(4')-IIa	Aminoglycoside	Amikacin, Tobramycin, Isepamicin
ant(4')-IIb	Aminoglycoside	Amikacin, Tobramycin, Isepamicin
ant(6)-Ia	Aminoglycoside	Streptomycin
ant(6)-Ib	Aminoglycoside	Streptomycin
ant(9)-Ia	Aminoglycoside	Spectinomycin
aph(2'')-Ia	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Kanamycin
aph(2'')-Ib	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Kanamycin
aph(2'')-Ic	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Kanamycin
aph(2'')-Id	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Spectinomycin
aph(2'')-Ie	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Spectinomycin
aph(2'')-If	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Kanamycin
aph(2'')-Ig	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Kanamycin
aph(2'')-Ih	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Kanamycin
aph(3')-Ia	Aminoglycoside	Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin
aph(3'')-Ia	Aminoglycoside	Streptomycin
aph(3')-Ia	Aminoglycoside	Unknown Aminoglycoside
aph(3')-Ia	Aminoglycoside	Kanamycin
aph(3')-Ia	Aminoglycoside	Kanamycin, Neomycin
aph(3')-Ib	Aminoglycoside	Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin
aph(3'')-Ib	Aminoglycoside	Streptomycin
aph(3')-Ib	Aminoglycoside	Kanamycin
aph(3'')-Ic	Aminoglycoside	Streptomycin
aph(3')-Id	Aminoglycoside	Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin
aph(3')-IIa	Aminoglycoside	Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin
aph(3')-IIa	Aminoglycoside	Kanamycin, Neomycin
aph(3')-IIb	Aminoglycoside	Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin
aph(3')-IIb	Aminoglycoside	Unknown Aminoglycoside
aph(3')-IIc	Aminoglycoside	Butirosin, Kanamycin, Neomycin, Paromomycin
aph(3')-III	Aminoglycoside	Kanamycin, Amikacin, Neomycin, Butirosin, Isepamicin, Lividomycin, Paromomycin, Ribostamycin
aph(3')-IIIa	Aminoglycoside	Amikacin, Kanamycin
aph(3')-IIIa	Aminoglycoside	Amikacin
aph(3')-IV	Aminoglycoside	Butirosin, Kanamycin, Neomycin, Paromomycin, Ribostamycin
aph(3')-IX	Aminoglycoside	Amikacin
aph(3')-Va	Aminoglycoside	Neomycin, Ribostamycin, Paromomycin
aph(3')-Va	Aminoglycoside	Unknown Aminoglycoside
aph(3')-Vb	Aminoglycoside	Neomycin, Ribostamycin, Paromomycin
aph(3')-Vb	Aminoglycoside	Unknown Aminoglycoside
aph(3')-Vc	Aminoglycoside	Neomycin, Ribostamycin, Paromomycin
aph(3')-VI	Aminoglycoside	Amikacin
aph(3')-VIa	Aminoglycoside	Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butirosin, Gentamicin, Amikacin
aph(3')-VIb	Aminoglycoside	Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butirosin, Gentamicin, Amikacin
aph(3')-VIIa	Aminoglycoside	Kanamycin, Neomycin, Amikacin
aph(3')-VIII	Aminoglycoside	Amikacin
aph(3')-XV	Aminoglycoside	Unknown Aminoglycoside
aph(4)-Ia	Aminoglycoside	Hygromycin
aph(6)-Ia	Aminoglycoside	Streptomycin, Kanamycin
aph(6)-Ia	Aminoglycoside	Streptomycin
aph(6)-Ib	Aminoglycoside	Streptomycin, Kanamycin
aph(6)-Ic	Aminoglycoside	Streptomycin
aph(6)-Id	Aminoglycoside	Streptomycin
aph(7'')-Ia	Aminoglycoside	Hygromycin
aph(9)-Ia	Aminoglycoside	Spectinomycin
aph(9)-Ib	Aminoglycoside	Spectinomycin
armA	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Isepamicin, Netilmicin
fmrO	Aminoglycoside	Amikacin, Gentamicin, Tobramycin
grmA	Aminoglycoside	Amikacin, Gentamicin, Tobramycin
grmB	Aminoglycoside	Amikacin, Gentamicin, Tobramycin
grmO	Aminoglycoside	Amikacin, Gentamicin, Tobramycin
kamB	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Apramycin
kgmB	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Kanamycin
kmr	Aminoglycoside	Amikacin, Gentamicin, Tobramycin
npmA	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Dibekacin, Kanamycin, Isepamicin, Netilmicin, Sisomicin, Neomycin, Apramycin
rmtA	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Isepamicin, Arbekacin, Kanamycin
rmtB	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Kanamycin, Arbekacin, Sisomicin, Isepamicin
rmtB2	Aminoglycoside	Amikacin, Gentamicin, Tobramycin
rmtC	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Kanamycin, Arbekacin, Sisomicin, Isepamicin
rmtD	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Arbekacin
rmtD2	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Kanamycin, Netilmicin
rmtE	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Kanamycin, Streptomycin
rmtF	Aminoglycoside	Amikacin, Gentamicin, Tobramycin
rmtG	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Arbekacin
rmtH	Aminoglycoside	Amikacin, Gentamicin, Tobramycin
sgm	Aminoglycoside	Amikacin, Gentamicin, Tobramycin
str	Aminoglycoside	Streptomycin
aac(2')-Ia	Aminoglycoside	Gentamicin, Tobramycin, Dibekacin, Netilmicin
aac(2')-Ib	Aminoglycoside	Gentamicin, Tobramycin, Dibekacin, Netilmicin
aac(2')-Ic	Aminoglycoside	Gentamicin, Tobramycin, Dibekacin, Netilmicin
aac(2')-Id	Aminoglycoside	Gentamicin, Tobramycin, Dibekacin, Netilmicin
aac(2')-Ie	Aminoglycoside	Gentamicin, Tobramycin, Dibekacin, Netilmicin
aac(2')-IIa	Aminoglycoside	Kasugamycin
aac(3)-I	Aminoglycoside	Gentamicin, Astromicin, Fortimicin
aac(3)-Ia	Aminoglycoside	Gentamicin, Astromicin, Fortimicin
aac(3)-Ib	Aminoglycoside	Gentamicin, Astromicin, Fortimicin
aac(3)-Ib-aac(6')-Ib	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Streptomycin
aac(3)-Ic	Aminoglycoside	Gentamicin, Astromicin, Fortimicin
aac(3)-Id	Aminoglycoside	Gentamicin, Astromicin, Fortimicin
aac(3)-If	Aminoglycoside	Gentamicin, Astromicin, Fortimicin
aac(3)-Ig	Aminoglycoside	Gentamicin, Astromicin, Fortimicin
aac(3)-Ih	Aminoglycoside	Gentamicin, Astromicin, Fortimicin
aac(3)-Ii	Aminoglycoside	Gentamicin, Astromicin, Fortimicin
aac(3)-IIa	Aminoglycoside	Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin
aac(3)-IIa	Aminoglycoside	Gentamicin, Tobramycin
aac(3)-IIb	Aminoglycoside	Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin
aac(3)-IIc	Aminoglycoside	Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin
aac(3)-IId	Aminoglycoside	Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin
aac(3)-IIe	Aminoglycoside	Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin
